Page Title,Page URL,Broken Link,HTTP Status Code,Detected
Manu Potvin - Votre Expert en Châssis et Pergolas | Waremme et environs,https://www.manupotvin.be,https://www.manupotvin.be/index,404,2025-01-03 01:02:00
Manu Potvin - Votre Expert en Châssis et Pergolas | Waremme et environs,https://www.manupotvin.be/,https://www.manupotvin.be/index,404,2025-01-03 01:02:00
"Manu Potvin - Menuiserie extérieure | Waremme, Hannut et environs",https://www.manupotvin.be/products/chassis,https://www.manupotvin.be/products/index,404,2025-02-07 01:40:00
"Manu Potvin - Châssis Alu - Durable, Écologique, et Performant | Waremme et environs",https://www.manupotvin.be/products/chassis/kind/alu,https://www.manupotvin.be/products/chassis/kind/index,500,2025-05-02 06:33:00
"Manu Potvin - Châssis PVC - Durable, Écologique, et Performant | Waremme et environs",https://www.manupotvin.be/products/chassis/kind/pvc,https://www.manupotvin.be/products/chassis/kind/index,500,2025-05-02 06:33:00
